coverage,location,scenario,cohort,value,low,high
30,kenya,Catch-up 10-45: TT,25_30,50949.4952,50855.8228,51043.1677
30,kenya,Catch-up 10-45: TT,30_35,41586.0282,41169.0348,42003.0217
30,kenya,Catch-up 10-45: TT,35_40,34707.9027,34372.4949,35043.3106
30,kenya,Catch-up 10-45: TT,40_45,25835.4606,25605.8121,26065.1092
30,kenya,Catch-up 10-45: TT,45_50,19727.8667,19229.2875,20226.4459
30,kenya,Catch-up 10-45: TT,50_55,14568.3286,14426.3090,14710.3481
30,kenya,Catch-up 10-45: TT,55_60,9389.9048,9329.4710,9450.3386
30,kenya,Catch-up 10-50: TTV,10_15,18692.9352,18260.8332,19125.0372
30,kenya,Catch-up 10-50: TTV,15_20,33514.3328,32931.1463,34097.5193
30,kenya,Catch-up 10-50: TTV,20_25,38020.4309,37319.3984,38721.4634
30,kenya,Catch-up 10-50: TTV,25_30,36494.4770,35654.4466,37334.5074
30,kenya,Catch-up 10-50: TTV,30_35,33419.9061,32084.3183,34755.4939
30,kenya,Catch-up 10-50: TTV,35_40,29457.7133,29400.3011,29515.1255
30,kenya,Catch-up 10-50: TTV,40_45,22719.3412,22595.4518,22843.2306
30,kenya,Catch-up 10-50: TTV,45_50,16018.7401,16009.6749,16027.8052
30,kenya,Catch-up 10-50: TTV,50_55,13994.2072,13858.2311,14130.1833
30,kenya,Catch-up 10-50: TTV,55_60,9272.8143,9142.8816,9402.7470
30,kenya,Catch-up 10-50: V,10_15,19595.6654,19420.4074,19770.9235
30,kenya,Catch-up 10-50: V,15_20,34496.3827,33635.2006,35357.5648
30,kenya,Catch-up 10-50: V,20_25,41015.6829,39102.9520,42928.4139
30,kenya,Catch-up 10-50: V,25_30,40456.6705,39970.1781,40943.1628
30,kenya,Catch-up 10-50: V,30_35,36347.1702,35195.9056,37498.4348
30,kenya,Catch-up 10-50: V,35_40,32320.7663,31568.3651,33073.1676
30,kenya,Catch-up 10-50: V,40_45,26092.3047,25608.8340,26575.7753
30,kenya,Catch-up 10-50: V,45_50,18930.8956,18779.8110,19081.9802
30,kenya,Catch-up 10-50: V,50_55,14549.4429,14543.3996,14555.4863
30,kenya,Catch-up 10-50: V,55_60,9469.2242,9345.3349,9593.1135
30,kenya,Catch-up 10-50: TT,10_15,28679.6261,28537.6067,28821.6456
30,kenya,Catch-up 10-50: TT,15_20,54246.9160,53835.9658,54657.8661
30,kenya,Catch-up 10-50: TT,20_25,58337.5313,58189.4685,58485.5942
30,kenya,Catch-up 10-50: TT,25_30,49374.4384,49350.2649,49398.6119
30,kenya,Catch-up 10-50: TT,30_35,41499.1546,41375.2652,41623.0440
30,kenya,Catch-up 10-50: TT,35_40,34307.5286,34219.8995,34395.1576
30,kenya,Catch-up 10-50: TT,40_45,25518.1830,25500.0529,25536.3132
30,kenya,Catch-up 10-50: TT,45_50,17359.6157,17208.5310,17510.7003
30,kenya,Catch-up 10-50: TT,50_55,14356.8100,14299.3978,14414.2222
30,kenya,Catch-up 10-50: TT,55_60,9363.4650,9287.9228,9439.0073
30,kenya,Catch-up 10-55: TTV,10_15,18802.4715,18095.3956,19509.5473
30,kenya,Catch-up 10-55: TTV,15_20,33231.0492,32747.5786,33714.5199
30,kenya,Catch-up 10-55: TTV,20_25,39112.0171,38389.8328,39834.2014
30,kenya,Catch-up 10-55: TTV,25_30,36792.8691,35847.0796,37738.6587
30,kenya,Catch-up 10-55: TTV,30_35,32928.8813,31992.1568,33865.6057
30,kenya,Catch-up 10-55: TTV,35_40,27856.2166,27853.1949,27859.2383
30,kenya,Catch-up 10-55: TTV,40_45,23097.0526,22779.7749,23414.3303
30,kenya,Catch-up 10-55: TTV,45_50,15739.2336,15524.6935,15953.7737
30,kenya,Catch-up 10-55: TTV,50_55,11746.8239,11595.7393,11897.9085
30,kenya,Catch-up 10-55: TTV,55_60,9095.2899,9004.6391,9185.9406
30,kenya,Catch-up 10-55: V,10_15,19489.9063,19181.6937,19798.1189
30,kenya,Catch-up 10-55: V,15_20,33559.6582,32885.8210,34233.4955
30,kenya,Catch-up 10-55: V,20_25,41106.3336,40202.8478,42009.8194
30,kenya,Catch-up 10-55: V,25_30,39584.1569,39094.6428,40073.6710
30,kenya,Catch-up 10-55: V,30_35,36638.0079,35622.7195,37653.2964
30,kenya,Catch-up 10-55: V,35_40,32766.4658,32564.0125,32968.9192
30,kenya,Catch-up 10-55: V,40_45,26269.8290,25704.7727,26834.8853
30,kenya,Catch-up 10-55: V,45_50,18806.2508,18567.5372,19044.9644
30,kenya,Catch-up 10-55: V,50_55,14523.0031,14260.1159,14785.8903
30,kenya,Catch-up 10-55: V,55_60,9710.9595,9544.7665,9877.1525
30,kenya,Catch-up 10-55: TT,10_15,28766.4997,28536.8512,28996.1482
30,kenya,Catch-up 10-55: TT,15_20,52075.0750,51316.6304,52833.5196
30,kenya,Catch-up 10-55: TT,20_25,56154.3591,54676.7518,57631.9664
30,kenya,Catch-up 10-55: TT,25_30,50371.5967,50154.0349,50589.1585
30,kenya,Catch-up 10-55: TT,30_35,42424.5477,41409.2592,43439.8362
30,kenya,Catch-up 10-55: TT,35_40,34303.7514,33796.1072,34811.3956
30,kenya,Catch-up 10-55: TT,40_45,25676.8218,25489.4769,25864.1668
30,kenya,Catch-up 10-55: TT,45_50,16422.8914,16169.0693,16676.7135
30,kenya,Catch-up 10-55: TT,50_55,12211.4090,12117.7366,12305.0814
30,kenya,Catch-up 10-55: TT,55_60,9099.0670,9011.4379,9186.6960
30,kenya,Catch-up 10-60: TTV,10_15,19346.3759,18917.2958,19775.4561
30,kenya,Catch-up 10-60: TTV,15_20,32332.0959,32326.0525,32338.1394
30,kenya,Catch-up 10-60: TTV,20_25,38027.9851,37568.6879,38487.2822
30,kenya,Catch-up 10-60: TTV,25_30,37446.3099,36576.0627,38316.5572
30,kenya,Catch-up 10-60: TTV,30_35,33453.9002,32272.4187,34635.3816
30,kenya,Catch-up 10-60: TTV,35_40,29136.6586,28598.7975,29674.5197
30,kenya,Catch-up 10-60: TTV,40_45,22874.2029,22257.7777,23490.6280
30,kenya,Catch-up 10-60: TTV,45_50,15795.8904,15620.6323,15971.1484
30,kenya,Catch-up 10-60: TTV,50_55,11535.3055,11444.6549,11625.9562
30,kenya,Catch-up 10-60: TTV,55_60,7433.3596,7354.7956,7511.9236
30,kenya,Catch-up 10-60: V,10_15,18632.5013,17994.9244,19270.0782
30,kenya,Catch-up 10-60: V,15_20,33208.3865,33027.0849,33389.6881
30,kenya,Catch-up 10-60: V,20_25,40479.3326,39938.4498,41020.2155
30,kenya,Catch-up 10-60: V,25_30,40554.8755,39826.6477,41283.1032
30,kenya,Catch-up 10-60: V,30_35,37204.5752,36551.8897,37857.2606
30,kenya,Catch-up 10-60: V,35_40,31999.7116,31691.4990,32307.9242
30,kenya,Catch-up 10-60: V,40_45,26284.9374,25991.8333,26578.0415
30,kenya,Catch-up 10-60: V,45_50,18825.1363,18637.7915,19012.4812
30,kenya,Catch-up 10-60: V,50_55,14167.9544,14164.9328,14170.9761
30,kenya,Catch-up 10-60: V,55_60,9503.2183,9473.0013,9533.4352
30,kenya,Catch-up 10-60: TT,10_15,28554.9814,28089.6410,29020.3219
30,kenya,Catch-up 10-60: TT,15_20,52222.3824,51805.3888,52639.3759
30,kenya,Catch-up 10-60: TT,20_25,56890.8964,56443.6861,57338.1068
30,kenya,Catch-up 10-60: TT,25_30,49891.9031,49405.4107,50378.3955
30,kenya,Catch-up 10-60: TT,30_35,42651.1746,41363.9339,43938.4153
30,kenya,Catch-up 10-60: TT,35_40,34507.7156,34314.3274,34701.1039
30,kenya,Catch-up 10-60: TT,40_45,25623.9423,25297.5996,25950.2850
30,kenya,Catch-up 10-60: TT,45_50,17219.8624,16715.2399,17724.4849
30,kenya,Catch-up 10-60: TT,50_55,11879.0229,11797.4372,11960.6086
30,kenya,Catch-up 10-60: TT,55_60,7663.7635,7630.5249,7697.0021
30,kenya,Catch-up 15-20: TTV,10_15,25351.9882,24669.0859,26034.8905
30,kenya,Catch-up 15-20: TTV,15_20,41351.8461,41001.3299,41702.3623
30,kenya,Catch-up 15-20: TTV,20_25,56139.2505,54746.2506,57532.2505
30,kenya,Catch-up 15-20: TTV,25_30,52467.8955,51606.7133,53329.0776
30,kenya,Catch-up 15-20: TTV,30_35,45627.5411,44618.2961,46636.7861
30,kenya,Catch-up 15-20: TTV,35_40,38001.5468,37400.2302,38602.8635
30,kenya,Catch-up 15-20: TTV,40_45,28804.2729,28242.2382,29366.3076
30,kenya,Catch-up 15-20: TTV,45_50,19852.5115,19647.0365,20057.9866
30,kenya,Catch-up 15-20: TTV,50_55,14734.5216,14598.5455,14870.4977
30,kenya,Catch-up 15-20: TTV,55_60,9389.9048,9359.6879,9420.1217
30,kenya,Catch-up 15-20: V,10_15,26341.5922,26105.9003,26577.2841
30,kenya,Catch-up 15-20: V,15_20,41272.5267,40640.9931,41904.0603
30,kenya,Catch-up 15-20: V,20_25,54658.6216,53622.1812,55695.0619
30,kenya,Catch-up 15-20: V,25_30,52573.6547,51899.8174,53247.4920
30,kenya,Catch-up 15-20: V,30_35,45487.7878,44505.7380,46469.8377
30,kenya,Catch-up 15-20: V,35_40,37676.7149,37178.1358,38175.2941
30,kenya,Catch-up 15-20: V,40_45,29518.1476,28632.7919,30403.5032
30,kenya,Catch-up 15-20: V,45_50,20415.3015,20128.2408,20702.3622
30,kenya,Catch-up 15-20: V,50_55,14923.3773,14751.1408,15095.6137
30,kenya,Catch-up 15-20: V,55_60,9710.9595,9677.7209,9744.1981
30,kenya,Catch-up 15-20: TT,10_15,29484.1515,29441.8478,29526.4553
30,kenya,Catch-up 15-20: TT,15_20,53793.6622,53709.0548,53878.2696
30,kenya,Catch-up 15-20: TT,20_25,58968.3096,58019.4983,59917.1208
