location,scenario,cohort,value,low,high
kenya,Catch-up 10-35 50%,45_50,20105.5781,20090.4697,20120.6866
kenya,Catch-up 10-35 50%,50_55,14810.0639,14559.2634,15060.8643
kenya,Catch-up 10-35 50%,55_60,9442.7844,9303.7866,9581.7822
kenya,Catch-up 10-35 60%,10_15,13000.8243,12843.6963,13157.9522
kenya,Catch-up 10-35 60%,15_20,19897.8345,19861.5742,19934.0948
kenya,Catch-up 10-35 60%,20_25,26507.7853,26405.0478,26610.5229
kenya,Catch-up 10-35 60%,25_30,27595.5948,27311.5558,27879.6338
kenya,Catch-up 10-35 60%,30_35,26194.2856,25254.5394,27134.0318
kenya,Catch-up 10-35 60%,35_40,34133.7814,33901.1111,34366.4516
kenya,Catch-up 10-35 60%,40_45,27958.1993,27734.5941,28181.8044
kenya,Catch-up 10-35 60%,45_50,19659.8787,19233.8201,20085.9373
kenya,Catch-up 10-35 60%,50_55,14594.7684,14540.3779,14649.1588
kenya,Catch-up 10-35 60%,55_60,9522.1038,9386.1277,9658.0799
kenya,Catch-up 10-35 70%,10_15,12169.8593,12103.3821,12236.3365
kenya,Catch-up 10-35 70%,15_20,17355.8366,16887.4745,17824.1987
kenya,Catch-up 10-35 70%,20_25,22220.7603,21522.7495,22918.7710
kenya,Catch-up 10-35 70%,25_30,23992.2275,23514.8001,24469.6548
kenya,Catch-up 10-35 70%,30_35,23905.3542,23340.2978,24470.4106
kenya,Catch-up 10-35 70%,35_40,33283.9306,33102.6291,33465.2321
kenya,Catch-up 10-35 70%,40_45,27939.3137,27458.8648,28419.7626
kenya,Catch-up 10-35 70%,45_50,19750.5294,19421.1650,20079.8939
kenya,Catch-up 10-35 70%,50_55,14730.7445,14585.7033,14875.7857
kenya,Catch-up 10-35 70%,55_60,9491.8869,9343.8240,9639.9498
kenya,Catch-up 10-35 80%,10_15,11093.3820,10637.1066,11549.6573
kenya,Catch-up 10-35 80%,15_20,15709.0148,15258.7828,16159.2468
kenya,Catch-up 10-35 80%,20_25,19735.4189,19067.6250,20403.2128
kenya,Catch-up 10-35 80%,25_30,21854.3805,21667.0357,22041.7254
kenya,Catch-up 10-35 80%,30_35,21072.5183,20743.1538,21401.8827
kenya,Catch-up 10-35 80%,35_40,32864.6708,32553.4365,33175.9051
kenya,Catch-up 10-35 80%,40_45,27871.3257,27251.8789,28490.7724
kenya,Catch-up 10-35 80%,45_50,19550.3424,19320.6938,19779.9909
kenya,Catch-up 10-35 80%,50_55,14458.7922,14301.6642,14615.9202
kenya,Catch-up 10-35 80%,55_60,9344.5794,9241.8419,9447.3170
kenya,Catch-up 10-35 90%,10_15,9880.9286,9747.9742,10013.8829
kenya,Catch-up 10-35 90%,15_20,12864.8481,12447.8547,13281.8414
kenya,Catch-up 10-35 90%,20_25,17321.8428,17128.4545,17515.2311
kenya,Catch-up 10-35 90%,25_30,18334.1099,17747.9017,18920.3180
kenya,Catch-up 10-35 90%,30_35,18689.1589,17951.8662,19426.4516
kenya,Catch-up 10-35 90%,35_40,31535.1265,31235.9790,31834.2740
