coverage,location,scenario,metric,value,low,high
30,kenya,Catch-up 15-50: TTV,cancer_deaths,259302.5873,252488.6761,266116.4985
30,kenya,Catch-up 15-50: TTV,vaccinations,4397890.0000,,
30,kenya,Catch-up 15-50: V,cancers,310648.6859,303889.1653,317408.2064
30,kenya,Catch-up 15-50: V,cancer_deaths,273493.2050,267770.1234,279216.2867
30,kenya,Catch-up 15-50: V,vaccinations,4397890.0000,,
30,kenya,Catch-up 15-50: TT,cancers,354096.8161,346210.2047,361983.4276
30,kenya,Catch-up 15-50: TT,cancer_deaths,308797.8850,302020.2326,315575.5375
30,kenya,Catch-up 15-50: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-55: TTV,cancers,290883.0527,285184.1453,296581.9601
30,kenya,Catch-up 15-55: TTV,cancer_deaths,257493.3513,252320.2169,262666.4857
30,kenya,Catch-up 15-55: TTV,vaccinations,4624978.0000,,
30,kenya,Catch-up 15-55: V,cancers,308004.7052,302067.0840,313942.3264
30,kenya,Catch-up 15-55: V,cancer_deaths,271649.9726,265413.2016,277886.7435
30,kenya,Catch-up 15-55: V,vaccinations,4624978.0000,,
30,kenya,Catch-up 15-55: TT,cancers,352483.9887,346050.8107,358917.1668
30,kenya,Catch-up 15-55: TT,cancer_deaths,305727.0904,300493.5222,310960.6585
30,kenya,Catch-up 15-55: TT,vaccinations,0.0000,,
30,kenya,Catch-up 15-60: TTV,cancers,285685.7451,278971.5488,292399.9415
30,kenya,Catch-up 15-60: TTV,cancer_deaths,254041.0692,248263.5986,259818.5399
30,kenya,Catch-up 15-60: TTV,vaccinations,4799125.5000,,
30,kenya,Catch-up 15-60: V,cancers,308612.8223,301167.3781,316058.2664
30,kenya,Catch-up 15-60: V,cancer_deaths,272560.2571,266477.5923,278642.9219
30,kenya,Catch-up 15-60: V,vaccinations,4799125.5000,,
30,kenya,Catch-up 15-60: TT,cancers,351282.8680,344861.7764,357703.9595
30,kenya,Catch-up 15-60: TT,cancer_deaths,305700.6509,299376.2529,312025.0490
30,kenya,Catch-up 15-60: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-25: TTV,cancers,350270.6019,343033.6535,357507.5503
30,kenya,Catch-up 20-25: TTV,cancer_deaths,305205.8508,299863.5017,310548.2000
30,kenya,Catch-up 20-25: TTV,vaccinations,881797.5000,,
30,kenya,Catch-up 20-25: V,cancers,350289.4872,343218.7325,357360.2418
30,kenya,Catch-up 20-25: V,cancer_deaths,304707.2709,298011.2044,311403.3374
30,kenya,Catch-up 20-25: V,vaccinations,881797.5000,,
30,kenya,Catch-up 20-25: TT,cancers,365061.7751,357262.7922,372860.7581
30,kenya,Catch-up 20-25: TT,cancer_deaths,317745.8709,311623.9241,323867.8177
30,kenya,Catch-up 20-25: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-30: TTV,cancers,333821.2745,326925.7760,340716.7730
30,kenya,Catch-up 20-30: TTV,cancer_deaths,291192.7592,285046.6396,297338.8787
30,kenya,Catch-up 20-30: TTV,vaccinations,1608045.7500,,
30,kenya,Catch-up 20-30: V,cancers,343029.8759,335717.3861,350342.3658
30,kenya,Catch-up 20-30: V,cancer_deaths,299392.8730,292439.9617,306345.7843
30,kenya,Catch-up 20-30: V,vaccinations,1608045.7500,,
30,kenya,Catch-up 20-30: TT,cancers,365658.5599,358947.3857,372369.7340
30,kenya,Catch-up 20-30: TT,cancer_deaths,316990.4439,311067.9297,322912.9582
30,kenya,Catch-up 20-30: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-35: TTV,cancers,327751.4538,320188.1620,335314.7456
30,kenya,Catch-up 20-35: TTV,cancer_deaths,287056.8175,280786.8086,293326.8264
30,kenya,Catch-up 20-35: TTV,vaccinations,2243364.0000,,
30,kenya,Catch-up 20-35: V,cancers,331407.7001,324666.3096,338149.0907
30,kenya,Catch-up 20-35: V,cancer_deaths,290947.2445,285251.3573,296643.1318
30,kenya,Catch-up 20-35: V,vaccinations,2243364.0000,,
30,kenya,Catch-up 20-35: TT,cancers,363124.1159,355503.4135,370744.8183
30,kenya,Catch-up 20-35: TT,cancer_deaths,314886.5923,308912.7092,320860.4753
30,kenya,Catch-up 20-35: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-40: TTV,cancers,316684.5099,309344.8239,324024.1959
30,kenya,Catch-up 20-40: TTV,cancer_deaths,278301.4672,271668.8564,284934.0781
30,kenya,Catch-up 20-40: TTV,vaccinations,2767559.5000,,
30,kenya,Catch-up 20-40: V,cancers,325488.9621,317964.9547,333012.9695
30,kenya,Catch-up 20-40: V,cancer_deaths,285980.3401,279362.8362,292597.8440
30,kenya,Catch-up 20-40: V,vaccinations,2767559.5000,,
30,kenya,Catch-up 20-40: TT,cancers,357858.8202,350697.4159,365020.2245
30,kenya,Catch-up 20-40: TT,cancer_deaths,310048.1097,303726.7332,316369.4862
30,kenya,Catch-up 20-40: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-45: TTV,cancers,308016.0368,301761.1376,314270.9360
30,kenya,Catch-up 20-45: TTV,cancer_deaths,271185.3863,265151.0710,277219.7017
30,kenya,Catch-up 20-45: TTV,vaccinations,3131204.7500,,
30,kenya,Catch-up 20-45: V,cancers,319963.0458,313662.8207,326263.2709
30,kenya,Catch-up 20-45: V,cancer_deaths,281791.5224,275243.5183,288339.5264
30,kenya,Catch-up 20-45: V,vaccinations,3131204.7500,,
30,kenya,Catch-up 20-45: TT,cancers,355936.2684,348880.6193,362991.9174
30,kenya,Catch-up 20-45: TT,cancer_deaths,308401.2880,302611.7300,314190.8460
30,kenya,Catch-up 20-45: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-50: TTV,cancers,304533.5393,297493.0014,311574.0771
30,kenya,Catch-up 20-50: TTV,cancer_deaths,267650.0088,261863.4717,273436.5458
30,kenya,Catch-up 20-50: TTV,vaccinations,3469165.7500,,
30,kenya,Catch-up 20-50: V,cancers,323562.6357,315941.9337,331183.3377
30,kenya,Catch-up 20-50: V,cancer_deaths,284246.6456,277064.0857,291429.2054
30,kenya,Catch-up 20-50: V,vaccinations,3469165.7500,,
30,kenya,Catch-up 20-50: TT,cancers,349466.0758,341923.9369,357008.2147
30,kenya,Catch-up 20-50: TT,cancer_deaths,303449.4900,296067.4986,310831.4815
30,kenya,Catch-up 20-50: TT,vaccinations,0.0000,,
30,kenya,Catch-up 20-55: TTV,cancers,304382.4552,297758.9089,311006.0015
30,kenya,Catch-up 20-55: TTV,cancer_deaths,269160.8519,263186.9690,275134.7348
30,kenya,Catch-up 20-55: TTV,vaccinations,3740189.0000,,
30,kenya,Catch-up 20-55: V,cancers,319245.3961,312649.0456,325841.7466
30,kenya,Catch-up 20-55: V,cancer_deaths,282324.0958,275615.9416,289032.2501
30,kenya,Catch-up 20-55: V,vaccinations,3740189.0000,,
30,kenya,Catch-up 20-55: TT,cancers,359743.6025,351201.2840,368285.9209
30,kenya,Catch-up 20-55: TT,cancer_deaths,313341.7539,305817.7429,320865.7649
30,kenya,Catch-up 20-55: TT,vaccinations,0.0000,,
