location,coverage,scenario,year,metric,value,low,high
kenya,70,No interventions,2083.0000,cancers,15618.3635,15293.5315,15852.5441
kenya,70,No interventions,2084.0000,cancers,15697.6825,15191.5492,16471.9910
kenya,70,No interventions,2085.0000,cancers,16056.5079,15882.7607,16286.9127
kenya,70,No interventions,2086.0000,cancers,15954.5259,15078.2365,16271.8038
kenya,70,No interventions,2087.0000,cancers,16037.6223,15289.7548,16324.6831
kenya,70,No interventions,2088.0000,cancers,16143.3820,15686.3508,16573.9728
kenya,70,No interventions,2089.0000,cancers,16166.0441,15882.7609,16793.0446
kenya,70,No interventions,2090.0000,cancers,15739.2308,15335.0802,16453.1047
kenya,70,No interventions,2091.0000,cancers,16105.6105,15777.0022,16328.4600
kenya,70,No interventions,2092.0000,cancers,16173.5990,15731.6760,16487.0986
kenya,70,No interventions,2093.0000,cancers,15799.6646,15637.2483,16302.0200
kenya,70,No interventions,2094.0000,cancers,16354.9005,15659.9109,16683.5087
kenya,70,No interventions,2095.0000,cancers,16645.7382,15939.4176,16955.4611
kenya,70,No interventions,2096.0000,cancers,16411.5564,15746.7850,16657.0692
kenya,70,No interventions,2097.0000,cancers,16388.8939,16139.6042,16725.0573
kenya,70,No interventions,2098.0000,cancers,16751.4967,15980.9656,17159.4249
kenya,70,No interventions,2099.0000,cancers,16437.9971,16101.8341,16981.9011
kenya,70,No interventions,2100.0000,cancers,16218.9246,16139.6044,17189.6418
kenya,70,Routine vax only,2020.0000,asr_cancer_incidence,28.3099,26.5918,29.6408
kenya,70,Routine vax only,2021.0000,asr_cancer_incidence,28.5712,27.8268,30.2594
kenya,70,Routine vax only,2022.0000,asr_cancer_incidence,27.2760,26.2544,28.8867
kenya,70,Routine vax only,2023.0000,asr_cancer_incidence,27.1518,26.5305,28.9867
kenya,70,Routine vax only,2024.0000,asr_cancer_incidence,26.6493,25.3625,28.3601
kenya,70,Routine vax only,2025.0000,asr_cancer_incidence,26.4185,25.2492,26.8299
kenya,70,Routine vax only,2026.0000,asr_cancer_incidence,26.3523,24.5782,27.2961
